"积重难返","指长期形成的某种问题很难改变。"
"精益求精","形容已经很好了，但还力求更好。"
"针锋相对","针锋：针尖。针尖对着针尖。形容针对对方的论点或行动做出激烈反应，毫不让步。"
"如火如荼","荼：一种开白花的茅草。像火那样红，像荼那样白。原来形容军容盛大、整齐。后多形容气势旺盛，气氛热烈。"
"匪夷所思","匪：不是。夷：平常。不是平常人所能想象的。形容非常离奇、古怪。"
"出类拔萃","出：超出。类：同类。拔：超过。萃：指聚集在一起的人或事物。超出同类之上。多用在人的品德、学识、才能方面。"
"持之以恒","持：保持，坚持。恒：恒心。有恒心地长期坚持下去。"
"如影随形","好像影子总是跟着身体一样。"
"举一反三","原指教人认识四方形的东西，举出一个角就能类推另外三个角。 后比喻从一件事类推而知道许多事情。指善于推理，能由此知彼，触类旁通。"
"一蹴而就","蹴：踏。就：成功。迈出一步就成功。形容事情轻而易举，一下子就成功。"
"缘木求鱼","爬到树上去找鱼。"
"按部就班","部：门类。班：次序。原指按照一定门类、依照一定次序安排文章的结构，组织词句。现指办事要按照一定的规矩，遵循一定的程序。"
"走马观花","走马：骑马快跑。骑在奔跑的马上看花。原形容得意而愉快的心情。现比喻匆忙和粗略地观察事物。"
"浅尝辄止","略微尝试一下就停止了。形容做事、学习等不肯深入下功夫。"
"相形见绌","相形：比较，对照。绌：不足，不够。在比较、对照之下，就能看出一方的短处和不足。"
"如出一辙","辙：车轮碾轧的痕迹。好像是从同一条车辙里走出来一样。比喻两件事或两种言行非常相似。"
"昭然若揭","像举着太阳、月亮走路一样明显。形容完全暴露，十分明显。语本《庄子·达生》：“今汝饰知以惊愚，修身以明污，昭昭乎若揭日月而行也。”"
"同日而语","在同一时间里来谈论。指相提并论，一样看待。"
"急于求成","不顾条件，想很快地取得成效。"
"寥寥无几","寥：稀少。几：几个。形容数量稀少，没有几个。"
"未雨绸缪","绸缪：紧密缠绕，引申为修补。原指还未下雨，就把门窗修补好。比喻事先做好防备工作。"
"声名鹊起","鹊起：像喜鹊一样飞起，比喻名声兴起、传扬。形容知名度迅速提高。"
"此起彼伏","这里起来，那里又隐伏下去。形容接连不断。"
"孤芳自赏","孤：孤独，单独。芳：花香，指香花。自赏：自我欣赏。把自己看作一朵独特不凡的香花而自我欣赏。比喻自命不凡或自命清高。"
"无孔不入","孔：小洞。遇到空隙就钻进去。比喻善于四处钻营或利用一切机会。"
"循规蹈矩","循：遵循。蹈：踩，履行。遵守规矩，不触及、破坏它。也形容拘泥保守，不懂得变通。"
"精雕细琢","精心细致地雕刻加工。形容精心细致地修饰润色或认真细致地做工作。"
"日新月异","每天都在更新，每月都有不同。形容发展迅速，变化很快。"
"爱莫能助","爱：怜爱，同情。虽有爱怜、同情之心，但限于条件或能力等原因，不能给以帮助。"
"生生不息","不断地生长、繁殖。"
"登峰造极","登：上。造：达到。极：最高点。攀登到山峰的顶点。比喻成就达到了最高的境地。也比喻干坏事猖狂到了极点。"
"一目了然","了然：明了，明白。一眼就把一切看得清清楚楚。"
"大行其道","1.大肆推行自己的主张。 2.形容十分风行。"
"唾手可得"," "
"莫衷一是","莫：　不能。衷：判断。是：对。不能判定哪个是对的，哪个是不对的。形容意见分歧，不能得出一致的结论。"
"浩如烟海","浩：广大，众多。烟海：烟雾茫茫的大海。广阔得如同烟雾弥漫的大海。形容事物数量极其繁多或极其丰富。多用于图书、文献、资料等。"
"啼笑皆非","啼：放声哭。皆非：都不是。形容事情让人哭笑不得，十分尴尬。"
"源源不断","源源：连续不断的样子。形容接连不断。"
"特立独行","1.原指立身行事不同常人。形容行为高尚，不随波逐流。 2.指思想行为独特，与众不同。"
"因循守旧","因：沿袭。循：遵循。遵循旧制而不加改变。"
"千篇一律","1. 形容文章、言论等内容一样，老一套。 2. 比喻按一个模式办事情，没有变化、没有特点。"
"人云亦云","别人怎么说，自己也跟着怎么说。形容随声附和，没有主见或创见。"
"比比皆是","比比：处处，到处。到处都是。形容同类事物或情况很多。"
"栩栩如生","栩栩：生动活泼。形容形象逼真，如同活的一样。"
"有目共睹","睹：看见。有眼睛的人都看得到。形容事情非常明了。"
"心无旁骛","旁；另外的；骛：追求。心思没有另外的追求，形容心思集中，专心致志。"
"孜孜不倦","勤奋努力，不知疲倦。"
"行之有效","某种办法、措施实行起来很有成效。"
"如日中天","像太阳正处于天空中央。"
"曲高和寡","原指曲调高雅，能跟着唱的人很少。后比喻某种东西高雅深奥，很难为常人理解或接受。"
"巧夺天工","巧：精巧。夺：超过。天工：天然形成的工巧。人工的精巧胜过大自然的造就。形容工艺高超精湛。"
"不胜枚举","胜：尽，全部。枚：个。举：列举。不能一个一个地列举出来。形容同类的人或事物很多。"
"前所未有","以前从来没有过。"
"标新立异","标：表明，揭示。异：独特，与众不同。提出新的见解、主张，表示与众不同。"
"居安思危","处于安逸的环境里，想到危险、灾难随时有可能出现。"
"此消彼长","这里削弱或消失，那里增长。形容事物不断变化。"
"不可或缺","或：语气词，常用来加强否定语气。一点也不可缺少。"
"无可厚非","厚：过分。非：责备，批评。不可以过分责备。"
"醍醐灌顶","1.佛教指灌输智慧，使人彻底觉悟。比喻听了高明的见解使人受到深刻启发，头脑清楚。 2.形容感到清凉舒适。"
"并行不悖","同时进行，互不冲突。"
"势在必行","势：趋势。从事态的发展来看，必须采取行动。"
"恰如其分","分：分寸，指适当的限度。形容说话办事很恰当，很有分寸。"
"喜闻乐见","欢喜听，乐意看。指非常受欢迎。"
"刻不容缓","刻：片刻，很短的时间。缓：拖延。片刻也不容许拖延。形容形势紧急。"
"一如既往","一：全部，完全。既往：以往，过去。完全与过去一样。指保持原有的态度、状态，没有任何变化。"
"纷至沓来","纷：众多，繁杂。沓：重复。形容接连不断地到来或纷纷到来。"
"蔚然成风","多指某件有意义的事情：经过提倡推广，逐渐形成一种社会上普遍流行的风尚。"
"鹤立鸡群","鹤：白鹤，亦称仙鹤，一种颈、腿细长的鸟。立：站，站立。白鹤站立在一群鸡当中。比喻人的仪表或才能在一群人中显得非常突出。有时也形容某事物出众。"
"数不胜数","数都数不过来。形容数量极多，很难计算。"
"孜孜以求","勤奋努力，坚持不懈地追求。"
"独树一帜","独立树立起一面旗帜。比喻开创新路或自成一家，与众不同。"
"大势所趋","趋：　向，往。整个局势发展的趋向。"
"不谋而合","谋：商量。事前没有商量而彼此的意见或做法完全相同。"
"突飞猛进","突：突然。猛：猛烈。形容进步或发展异常迅速。"
"至关重要","极为重要。"
"因势利导","因：顺着。势：趋势。利导：引导。顺着事物自身发展的规律，来加以引导。"
"崭露头角","崭：突出。头角：比喻气概或才华。比喻显示出超群的才华。"
"分庭抗礼","庭：庭院；抗礼：平等行礼。原指宾主相见，分站在庭的两边，相对行礼。现比喻平起平坐，彼此对等的关系。"
"一马当先","原指作战时驱马冲锋在前。后泛指起带头作用。"
"大张旗鼓","张：陈设，铺排。大规模地展开旗，摆上鼓。比喻声势和规模很大。"
"立竿见影","在阳光下竖起竹竿，即刻就看到影子。比喻迅速见效。"
"望尘莫及","尘：指车马过后扬起的尘土。及：赶上。比喻远远落在后面，怎么也赶不上。"
"随波逐流","随：跟着。逐：追逐，追赶。随着波浪起伏，跟着流水漂荡。比喻自己没有坚定的立场或明确的主见，跟着别人或随着潮流而行。"
"长盛不衰","长久兴盛而不衰败，比喻长时间保持旺盛的势头。一般用来形容文化、节日、传统等。"
"墨守成规","墨守：战国时墨翟善于守城，所以称“墨守”，比喻固执地遵守。成规：现成的规矩或制度。固执地守着老规矩。形容思想保守，不求改革进取。"
"心旷神怡","旷：开朗。怡：愉快。心胸开阔，精神爽朗。"
"弱肉强食","本指动物界弱者被强者吞食。泛指弱者被强者欺凌、吞并。"
"天经地义","指正确的、不容怀疑的常道正理。也指理所当然，不容置疑。"
"厚积薄发","1.充分地积累，少量地放出。指长期积累知识，打牢基础。语本宋·苏轼《稼说·送张琥》：“呜呼，吾子其去此而务学也哉！博观而约取，厚积而薄发，吾告子止于此矣！” 2.经过长期积累、有了深厚的基础后，突然显……"
"俯拾皆是","只要弯腰去捡，到处都是。形容数量很多，随处可见，且容易取。"
"必不可少","1.绝对需要的。 2.不达到某种目的就不能做成某种事情的。"
"集思广益","集：集中，聚集。思：思想，想法。广：扩大，增广。益：好处。集中群众的智慧和意见，以便取得更好的效果。"
"毫无二致","丝毫没有两样。指完全相同。"
"捉襟见肘","捉襟：拉一下衣襟。肘：胳膊肘。拉一下衣襟，就露出了胳膊肘。原形容衣着破烂，家境不好。后比喻顾此失彼，穷于应付，境况十分困难。"
"司空见惯","指某事常见，不足为奇。"
"一日千里","形容马跑得极快。也形容进步或发展的迅速。"
"防微杜渐","在错误或坏事物刚露头时就加以制止，不让它发展。"
"不置可否","置：摆放。不表示同意，也不表示反对。指不表明态度。"
"一以贯之","用一个根本性的事理贯通事情的始末或全部的道理。"
"薪火相传","古时候比喻形骸有尽而精神不灭；后人用来比喻学问和技艺代代相传。"
"登堂入室","登上厅堂，进入内室。指知识、学问等已进入高深境界。"
"鞭长莫及","及：达到。原意是指鞭子虽然很长，但不应该打到马肚子上去。后比喻相隔太远，力量达不到。"
"琳琅满目","琳琅：精美的玉石，比喻美好珍贵的东西。比喻美好的事物很多。"
"重中之重",""
"道听途说","道、途：道路。从路上听来的话又在路上传播。指没有根据、辗转听到的话。"
"齐头并进","从几个方面同时着手，共同前进。"
"按图索骥","索：寻找。骥：良马。按照画好的图像去寻找好马。原指办事拘泥成法，不知变通。现多比喻按照线索寻找所需求的东西。"
"春风化雨","化雨：能滋养草木，促进它生长的及时雨。指适宜于万物生长的风和适时而降的雨。比喻良好的熏陶和教育。"
"等量齐观","同等看待有差别的东西。指不作区别，相同看待。"
"唇齿相依","嘴唇和牙齿互相依存。比喻关系密切，相互依靠。"
"潜移默化","潜、默：暗中，无形中。移：改变。化：变化。指人的思想行为受到影响，在不知不觉中发生了变化。"
"大放异彩","比喻取得优异突出的成就。"
"束手无策","束：捆绑。策：办法。像手被捆住一样，一点儿办法也没有。"
"亦步亦趋","人家慢走我也慢走，人家快走我也快走。形容事事处处都模仿和追随别人，自己没有主见或创造性。"
"五花八门","原指古代战术变化很多的两种阵势。后来用作比喻花样繁多或变化多端。"
"耳熟能详","经常听到，能够详细说出。形容非常熟悉。"
"举步维艰","迈步行走困难。比喻行动困难或处于困境，事情难以进行。"
"条分缕析","一条一条地分析。形容分析得有条理，很细致。"
"迎刃而解","迎：正对。刃：刀口。解：分开。遇到刀锋就分开。原指劈竹时，劈开头部后，下面也就迎着刀锋顺势而裂。比喻主要矛盾解决了，次要矛盾也就容易解决。"
"另辟蹊径","蹊径：小路，途径。另外开辟一条路。比喻开创一种新风格、新方法或选择一条新途径等。"
"望其项背","项：颈的后部。望见他的颈项和后背。比喻赶得上。"
"匠心独运","匠心：高妙的构思。形容艺术构思独特、巧妙。"
"势如破竹","气势好像劈竹子一样，顺势劈到了底。比喻节节胜利，毫无阻碍。"
"今非昔比","今天与过去不能相比。形容变化巨大。"
"包罗万象","形容内容非常丰富，应有尽有，无所不包。包括了形形色色的各种景象。"
"不计其数","计：计算。无法计算数目。形容很多。"
"拨云见日","1.拨开云雾看见太阳。比喻冲破黑暗，见到光明。 2.比喻受到启发，思想豁然开朗。"
"轻而易举","轻：轻松。易：容易。举：向上托起。形容很容易，毫不费劲。"
"形形色色","形容事物品类繁多，各式各样。"
"蔚为大观","形容事物丰富多彩，盛大壮观。"
"瞻前顾后","向前看看，向后看看。原形容做事谨慎。现多形容顾虑太多，做事犹豫不决。"
"与时俱进","随着时间的推移而不断发展，不断进步。"
"鬼斧神工","鬼斧：鬼神使用的斧子。神工：天神的技艺。多形容建筑、雕塑、艺术等技术精巧神奇，似非人力所能达到的。"
"独善其身","1.独自修身养性，保持节操。 2.指只顾自己好，不管别人如何。"
"如履薄冰","像走在薄冰上。形容言行极为小心谨慎。"
"视而不见","视：看。虽然像在看，却什么也没看见。指注意力不集中或不重视。"
"风起云涌","起：发生，兴起。涌：往上冒。大风刮起，乌云腾涌。常比喻各种力量或事物相继兴起，迅速发展，声势浩大。也形容气势雄大壮阔。"
"与生俱来","和生命一起诞生。指天生具有的。"
"深入人心","深深地进入到人们的心里。"
"始料未及","没有想到的，在意料之外的。"
"刻舟求剑","剑落水时在船帮上刻上记号，船停后，从刻记号的地方下水去找。"
"自始至终","从开始到最后。"
"大同小异","大体相同，只有细微的差别。"
"心驰神往","驰：奔。内心和精神都被目标所吸引。形容对某一事物十分向往。"
"绝无仅有","只有一个，再没有别的。形容非常少有。"
"迫在眉睫","眉睫：眉毛和眼睫毛，指眼前。形容事情很紧迫，就在眼前。"
"信手拈来","随手拿来。多指写文章时能自由纯熟的选用词语或应用典故，用不着怎么思考。"
"固步自封","走老步子，把自己限制在固定的范围内。比喻因循守旧，不求进取。"
"继往开来","继：继承。往：以往，过去。开：开辟。来：未来。指继承前人的事业，开创未来的道路。"
"引人入胜","引：引导。胜：美好的境地。吸引人们来到美妙的境地。形容山水秀美或作品的情节诱人。"
"门可罗雀","大门前可以张网捕鸟。形容门庭冷落，来客稀少。"
"明哲保身","原指明智的人不参与可能给自己带来危险的事。 现在指因怕犯错误或有损自己利益而对原则性问题不置可否的处世态度。"
"迥然不同","谓差別很大，完全不同。"
"循序渐进","循：顺着。序：次序。渐：逐步。依照一定的次序，逐步前进。"
"后来居上","谓资格浅的新进反居资格老的旧臣之上。后来的超过先前的。有赞许之意。"
"惟妙惟肖","惟：文言文语气助词。妙：美好。肖：相像，相似。形容模仿或描绘得极其逼真。"
"精挑细选","非常仔细的挑选的意思。"
"顾此失彼","顾了这个，失去那个。形容头绪太多，无法兼顾。"
"近在咫尺","咫：古代长度单位，周朝的制度是八寸为咫。形容距离很近，就在眼前。"
"应接不暇","指景物繁多，看不过来；形容来人或事情太多，应付不过来。"
"筚路蓝缕","驾着柴车穿着破旧衣服去开辟山林。"
"相濡以沫","原指鱼在缺水的困境中互相吐唾沫沾湿对方，以维持生命。后比喻在困境中竭力互相帮助。语本《庄子·大宗师》：“泉涸，鱼相与处于陆，相呴以湿，相濡以沫。”"
"天马行空","1.像神马在天空奔腾一样。形容行为豪放，不受约束。 2.形容言论空泛，不着边际。"
"秘而不宣","保守秘密，不对外公开。"
"波澜壮阔","波：水波。澜：大浪。壮阔：雄壮而宽阔。比喻声势浩大或规模宏伟。"
"与日俱增","随着时间一天天地增长。形容不断增长。"
"密不可分","密：紧密；分：分割。形容十分紧密，不可分割。"
"优柔寡断","优柔：犹豫不决。形容人做事犹豫，不能决断。"
"不可理喻","理：道理，事理。喻：使明白。不能用道理使之明白。"
"独辟蹊径","辟：开辟。蹊径：小路。独自开辟一条新路。比喻独创新方法、新思路。"
"一枝独秀","一枝花开得特别秀美。"
"缺一不可","少一样也不行。"
"举不胜举","举：举例。胜：尽，完。例子举也举不完。形容数量极多。"
"一往无前","一直向前，无所阻挡。形容不怕困难，奋勇向前。"
"不约而同","没有经过商量或约定而彼此的看法或行动完全一致。"
"交相辉映","各种亮光、色彩等相互照耀、映射。"
"急功近利","功：成效，成就。近：指眼前的。急于谋求成功，贪图眼前的利益。"
"任重道远","担子沉重，道路遥远。比喻责任重大，要长期艰苦奋斗。"
"变幻莫测","测：预料。经常变化，没有规律可循。"
"谈虎色变","色：脸色。比喻一提到可怕的事物，就情绪紧张起来。"
"出乎意料","出乎人们的意料。指让人没有想到或让人想不到。"
"因地制宜","制：制定。宜：适当。根据各地的具体情况，采取适当的措施。"
"亘古不变","自古以来不曾改变。"
"掩耳盗铃","捂住自己的耳朵去偷铃铛。"
"无能为力","为力：使上力气。用不上力量。指没有能力或能力达不到。"
"林林总总","形容人或事物很多。"
"触手可及","近在手边，一伸手就可以接触到。"
"息息相关","息息：呼吸。一呼一吸相互关联。形容关系十分密切。"
"力所能及","力：体力、能力。及：达到。在自己能力范围内所能做到的。"
"迫不得已","被逼得没有办法，不得不这样。"
"毋庸讳言","用不着忌讳而直说。"
"各有千秋","千秋：千年，指久远。各有各的长期存在的价值。指各有特点，各有所长或各有一套。"
"舍本逐末","舍：舍弃，放弃。本：根本。逐：追求。末：枝节。指放弃根本的，而去追求枝节的。"
"脍炙人口","脍：切得很细的肉。炙：烤得很香的肉。比喻好的诗文等作品为人们所称颂。"
"千头万绪","形容事物复杂纷乱，头绪繁多。"
"博采众长","博：广。长：长处。广泛采纳、吸收各家的长处。"
"络绎不绝","络绎：一个接一个，往来不断。绝：断绝。形容行人或车辆来来往往，接连不断，非常热闹。"
"粉墨登场","粉墨：搽脸的粉和画眉的墨，引申指化妆。登场：登台演戏。搽粉施墨，化妆好了上台演戏。多比喻某些人经过一番策划或伪装之后登上政治舞台。也比喻人们在生活中充当某种角色活动。"
"阳春白雪","战国时楚国的高雅歌曲名。"
"互为表里","互相之间是表与里的关系。指相辅相成，互相依存。"
"惊世骇俗","使世人感到震惊。形容言行举动等异乎寻常，不同凡响。"
"分道扬镳","1.提起马嚼子分道驱马前进。指分路而行。 2.指按照不同的目标或志向，各做其事或各奔前程。"
"鱼龙混杂","鱼和龙相混杂。比喻坏人和好人混在一起，不易分辨。"
"无足轻重","不会影响事物的轻重。形容无关紧要。"
"殚精竭虑","殚、竭：用尽。用尽精力，费尽心思。"
"老生常谈","生：书生。老书生经常说的话或道理。比喻听惯了的话或没有新意的言论。"
"殊途同归","从不同的道路，走到同一个目的地。"
"相去甚远","互相之间存在很大差异和距离。"
"只言片语","只：单独的。片：零星的。个别的词句，零星片断的话语。"
"合二为一","把两者合为一个整体。"
"小题大做","原指以做大题的方法来做小题。后比喻把小事渲染夸张成大事。"
"功亏一篑","功：成功。亏：缺少。篑：盛土的筐。成功只缺少一筐土。比喻做事情只因差最后一点努力而前功尽弃，没有成功。多含惋惜的意思。"
"字斟句酌","对每一字每一句都仔细推敲。形容说话、写作或审稿认真细致。"
"门庭若市","门口和庭院里热闹得像市场一样，形容交际来往的人很多。"
"矢志不渝","表示永远不变心。"
"难能可贵","做到了难以做到的事情，十分可贵。"
"兢兢业业","原本形容危惧的样子。 后多用来形容小心谨慎，丝毫不敢懈怠。"
"鞭辟入里","剖析进入了最里层。形容分析问题深刻透彻。"
"深入浅出","内容深刻，表达的语言却浅显易懂。"
"坚不可摧","摧：摧毁。特别坚固，不能摧毁。"
"顺理成章","理：条理。章：章法。说话、做事合乎情理。"
"遥遥领先","远远地在前面。"
"不可多得","指不同寻常的人或事物非常难得。"
"锲而不舍","锲：刻。舍：放弃。一直镂刻下去，不放弃。比喻有恒心、有毅力，坚持不懈。"
"微乎其微","乎：语气词。其：代词，指代那个微小的东西。形容极其少或极其小。"
"去伪存真","去掉虚假不实的，留下客观真实的。常前接“去粗取精”，连用。"
"别具一格","另有一种与众不同的格调。"
"广开言路","广泛打开进言的途径。指尽量给下面提供发表意见的机会。"
"约定俗成","约定：共同议定。俗成：根据长期习用而形成。指大家长期习用，达成共识。"
"平分秋色","昼夜分占秋天的景色，多指中秋或秋分这一天。"
"适得其反","适：正好，刚巧。结果与愿望正好相反。"
"不遗余力","遗：留。把所有的力量都使出来，毫不保留。"
"蜂拥而至","像蜂群一样拥过来。形容一窝蜂、乱哄哄地拥上来。"
"纸上谈兵","兵：兵法。在纸面上谈论用兵打仗。比喻空谈不切实际的理论。"
"美轮美奂","轮：高大。奂：众多。形容房屋高大众多。也形容陈设、装饰华美。"
"坐而论道","1.原指王公大臣陪帝王坐在那里谈论政事。 2.指空谈大道理而不见行动。"
"触不可及","连触碰都不能碰到。比喻遥不可及，无法达到。"
"接踵而至","形容接连不断地到来或发生。"
"革故鼎新","去掉旧的，建立新的。"
"举重若轻","举起重的东西好像很轻的样子。比喻处理重要繁难的事情很轻松。"
"五彩缤纷","五彩：青、黄、赤、白、黑五种颜色，泛指各种颜色。缤纷：繁多而错杂。形容色彩纷繁艳丽。"
"泥沙俱下","指在江河的急流中泥土和沙子随着水一起冲下。"
"并驾齐驱","并：并排。驾：驾驭牲口。驱：快跑。几匹马并排套着拉车，一齐快跑。比喻不分先后，齐头并进。也比喻地位相当，不分高下。"
"得不偿失","偿：补偿。得到的不足以补偿失去的。"
"驾轻就熟","轻：轻便的车。就：到，走上。熟：熟路。驾着轻便的车走上了熟悉的道路。比喻对事情很熟悉，做起来非常容易。"
"人迹罕至","很少有人到来。形容地方偏僻荒凉。"
"江河日下","江河的水一天天地向下流。"
"功败垂成","快要成功的时候遭到失败。"
"良莠不齐","1.好苗和杂草都有。比喻好人坏人都有，二者混杂在一起。 2.比喻好坏优劣都有，水平参差不齐。"
"脚踏实地","脚踏在结实的土地上。比喻做事认真踏实，实事求是。"
"跃然纸上","生动逼真地呈现在纸上。形容绘画或文字描写生动逼真。"
"无可比拟","比拟：相比。没有什么可以相比的。"
"实事求是","实事：客观事物。求：探求。是：事物内部的规律或正确的答案。从实际情况出发，进行探究，既不扩大，也不缩小，求得客观、正确的答案。"
"本末倒置","本：树根，比喻事物的根本。末：树梢，比喻事物的细枝末节。树根和树梢颠倒放置。比喻把事物的主次、轻重搞颠倒了。"
"多姿多彩","具有多种姿态和色彩。形容形态、种类等很多，丰富多彩。"
"如数家珍","数：计算。家珍：家藏的珍宝。像在点数自己家里的珍宝一样。比喻对所说的事物非常熟悉。"
"兼收并蓄","兼：同时具备和涉及几个方面。收：收集，收罗。蓄：储藏，储存。把各种不同内容、不同性质的东西都吸收进来，保存起来。"
"左支右绌","1.原指拉弓射箭时，当左臂撑弓手臂伸直的同时，引弓持箭的右臂则要弯曲。 2.指能力或财力不足，应付了这方面，那方面又出问题。"
"自以为是","是：正确。认为自己是对的。形容主观、不虚心。"
"口诛笔伐","诛：谴责。伐：声讨。用言论、文字对坏人坏事进行无情的揭露和声讨。"
"供不应求","供应满足不了需求。"
"不期而遇","期：约定日期。没有约定而意外相遇。"
"奄奄一息","奄奄：呼吸微弱的样子。息：气息。只剩下最后一口气。形容呼吸微弱，生命到了危险关头。也比喻某种事物行将灭亡。"
"熠熠生辉","鲜明耀眼。"
"千丝万缕","千条丝，万条线。形容事物之间的关系极其复杂或联系极为紧密。"
"半斤八两","旧制一斤合十六两，半斤等于八两。一个半斤，一个八两，轻重相等。"
"截然不同","形容两件事物毫无共同之处。"
"硕果仅存","1.唯一留下来的大果子。比喻留存下来的稀少可贵的人或物。 2.指唯一存留。"
"鳞次栉比","鳞：鱼鳞。次：顺次。栉：梳子、篦子。比：排列。形容像鱼鳞和梳子的齿那样一个接一个有次序地排列着。"
"异曲同工","曲：曲调。工：精巧。不一样的曲调，却同样精巧。比喻事物虽然各个不同，但一样美好，或有一样的效果。"
"雷打不动","形容意志坚定，绝不动摇。也形容严守规章，不随意改变。"
"好高骛远","好：喜欢，爱好。骛：追求。期望得过高，追求得过远。形容不切实际地期望或追求不可能达到的目标。"
"轰轰烈烈","轰轰：形容巨大的声响。烈烈：火势熊熊的样子。形容声势浩大，气魄宏伟，或事业兴旺。"
"作茧自缚","茧：蚕茧。缚：束缚。蚕吐丝做茧，作为自己的保护外层，把自己包在里面。比喻自己做的事限制了自己的发展空间。也比喻自己束缚住自己。"
"望洋兴叹","望洋：仰视的样子。兴：发出。叹：感叹。原指面对宏大的事物而感到自己渺小。现用来比喻由于力量不够，无从着手，因而感到无可奈何的样子。"
"沙里淘金","从沙子里选出黄金。比喻从大量材料中选取精华。也比喻费力很大，收效却很小。"
"责无旁贷","贷：推卸。自己的责任不能推卸给别人。"
"不知所措","不知道怎么办才好。形容处境为难或心神慌乱。"
"无可非议","没有什么可以值得批评指责的。指言行合情合理，没有错误。"
"见微知著","看到事物的一点苗头，就知道其发展的趋势或问题的实质。"
"炉火纯青","原指道家炼丹炉的火焰变成纯青色时，丹就炼成了。比喻学问、技艺等功夫达到了纯熟完善的地步。"
"恍如隔世","好像隔了一世，多形容对时间的变迁、事物的巨大变化的感慨。"
"一帆风顺","帆：船帆。满帆乘风行驶。比喻一切顺利，毫无问题。"
"置若罔闻","置：放置。若：如，好像。罔：没有。闻：听见。放在一旁，好像没有听见一样。形容对别人的告诫、劝说、意见等极不重视。"
